INFO  | 04/19/2024 04:56:30 PM | File logger.py            | Line 39    | Writing log file to exp/GRAN/GRANMixtureBernoulli_subnode_2024-Apr-19-16-56-30_2702272/log_exp_2702272.txt
INFO  | 04/19/2024 04:56:30 PM | File logger.py            | Line 40    | Exp instance id = 2702272
INFO  | 04/19/2024 04:56:30 PM | File logger.py            | Line 41    | Exp comment = None
INFO  | 04/19/2024 04:56:30 PM | File logger.py            | Line 42    | Config =
INFO  | 04/19/2024 04:56:30 PM | File gran_runner.py       | Line 264   | Train/val/test = 28/7/7
INFO  | 04/19/2024 04:56:30 PM | File gran_runner.py       | Line 279   | No Edges vs. Edges in training set = 14.625
INFO  | 04/19/2024 04:56:32 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0001 iteration 00000001 = 1.220632791519165, train_adj_loss = 0.6996320486068726, train_embed_loss = 0.4702659547328949, train_subnode_loss = 0.0507347546517849
INFO  | 04/19/2024 04:56:32 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0002 iteration 00000010 = 0.6621965169906616, train_adj_loss = 0.5910384058952332, train_embed_loss = 0.021442996338009834, train_subnode_loss = 0.04971512779593468
INFO  | 04/19/2024 04:56:33 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0003 iteration 00000020 = 0.16627907752990723, train_adj_loss = 0.43406903743743896, train_embed_loss = -0.31683266162872314, train_subnode_loss = 0.049042701721191406
INFO  | 04/19/2024 04:56:34 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0005 iteration 00000030 = -0.2955041825771332, train_adj_loss = 0.4201982021331787, train_embed_loss = -0.7640002965927124, train_subnode_loss = 0.04829792305827141
INFO  | 04/19/2024 04:56:35 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0006 iteration 00000040 = -0.6048945784568787, train_adj_loss = 0.394758939743042, train_embed_loss = -1.0422652959823608, train_subnode_loss = 0.042611755430698395
INFO  | 04/19/2024 04:56:35 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0008 iteration 00000050 = -0.047912515699863434, train_adj_loss = 0.3994584381580353, train_embed_loss = -0.4907824695110321, train_subnode_loss = 0.04341151565313339
INFO  | 04/19/2024 04:56:36 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0009 iteration 00000060 = -0.6665713787078857, train_adj_loss = 0.38366642594337463, train_embed_loss = -1.0909860134124756, train_subnode_loss = 0.040748219937086105
INFO  | 04/19/2024 04:56:37 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0010 iteration 00000070 = -1.1122031211853027, train_adj_loss = 0.39041435718536377, train_embed_loss = -1.542037844657898, train_subnode_loss = 0.03942032530903816
