INFO  | 04/23/2024 03:20:33 PM | File logger.py            | Line 39    | Writing log file to exp/GRAN/GRANMixtureBernoulli_grid_embed_2024-Apr-23-15-20-33_414930/log_exp_414930.txt
INFO  | 04/23/2024 03:20:33 PM | File logger.py            | Line 40    | Exp instance id = 414930
INFO  | 04/23/2024 03:20:33 PM | File logger.py            | Line 41    | Exp comment = None
INFO  | 04/23/2024 03:20:33 PM | File logger.py            | Line 42    | Config =
INFO  | 04/23/2024 03:20:33 PM | File gran_runner.py       | Line 264   | Train/val/test = 28/7/7
INFO  | 04/23/2024 03:20:33 PM | File gran_runner.py       | Line 279   | No Edges vs. Edges in training set = 14.625
INFO  | 04/23/2024 03:20:35 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0001 iteration 00000001 = 1.1637661457061768, train_adj_loss = 0.6892792582511902, train_embed_loss = 0.4744868278503418, train_subnode_loss = 0
INFO  | 04/23/2024 03:20:35 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0002 iteration 00000010 = 0.63808673620224, train_adj_loss = 0.5176553130149841, train_embed_loss = 0.12043142318725586, train_subnode_loss = 0
INFO  | 04/23/2024 03:20:35 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0003 iteration 00000020 = 0.1016463041305542, train_adj_loss = 0.39870861172676086, train_embed_loss = -0.29706230759620667, train_subnode_loss = 0
INFO  | 04/23/2024 03:20:36 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0005 iteration 00000030 = -0.14577871561050415, train_adj_loss = 0.40086930990219116, train_embed_loss = -0.5466480255126953, train_subnode_loss = 0
INFO  | 04/23/2024 03:20:37 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0006 iteration 00000040 = -0.45420363545417786, train_adj_loss = 0.3934946358203888, train_embed_loss = -0.8476982712745667, train_subnode_loss = 0
INFO  | 04/23/2024 03:20:37 PM | File gran_runner.py       | Line 184   | NLL Loss @ epoch 0008 iteration 00000050 = -0.7542493939399719, train_adj_loss = 0.39035564661026, train_embed_loss = -1.144605040550232, train_subnode_loss = 0
